Class Code:,Assignment Name:,Start Time,End Time,Time Spent:,,Block:,Class Code:,# of Classes:,Homework/Class:,Time Budgeted:,Time Spent:,Deficit/Surplus:,Percent of Total,,Day Count:,Day:,Homework This Day:
Monday,DAY,8,/27,0:00,0.07,1,PHYS350,9,0:30:00,4:30:00,3:37:00,0:53:00,12.96%,PHYS350,1,1,0.07
ENG301,Crucible Introduction + Prologue,3:55:00 PM,5:03:00 PM,1:08,0.00,2,HIST301,9,0:30:00,4:30:00,3:39:00,0:51:00,13.07%,HIST301,1,2,0.08
MATH401,Look Over Sample Projects,9:10:00 PM,9:20:00 PM,0:10,0,3,FA160,9,0:30:00,4:30:00,0:35:00,3:55:00,2.09%,FA160,1,3,0.05
PHYS350,Look Over Introductory Materials,9:22:00 PM,9:33:00 PM,0:11,0,4,ENG301,9,0:30:00,4:30:00,7:16:00,-2:46:00,26.03%,ENG301,1,4,0.05
QUEST,Call Ryan Stagg,3:45:00 PM,3:55:00 PM,0:10,0.00,5,MATH401,9,0:30:00,4:30:00,3:04:00,1:26:00,10.99%,MATH401,1,5,0.11
Tuesday,DAY,8,/28,0:00,0.08,6,SOM11,9,0:30:00,4:30:00,0:05:00,4:25:00,0.30%,SOM11,2,6,0.17
ENG301,Summarize New Orleans Speech,4:35:00 PM,5:05:00 PM,0:30,0,7,SPAN501,8,0:30:00,4:00:00,8:24:00,-4:24:00,30.09%,SPAN501,2,7,0.00
SPAN501,Leer Cuentos,10:02:00 PM,10:22:00 PM,0:20,0.00,8,CS220,8,0:30:00,4:00:00,1:15:00,2:45:00,4.48%,CS220,2,8,0.07
MATH401,Attempt to solve (1/a+da),8:55:00 PM,9:37:00 PM,0:42,0,9,QUEST,1,40:00:00,40:00:00,0:33:00,39:27:00,1.97%,QUEST,2,9,0.06
ENG301,Summarize New Orleans Speech,9:40:00 PM,9:59:00 PM,0:19,0.00,Totals:,,,,35:00:00,27:55:00,7:05:00,100.00%,,2,10,0.00
Wednesday,DAY,8,/29,0:00,0.05,,,,,,,,,,3,11,0.00
EFD150,Yellow Sheet,12:19:00 AM,12:43:00 AM,0:24,0,,Day of Week:,Time:,,,,,,,3,12,0.09
QUEST,Call Ryan Stagg,3:07:00 PM,3:30:00 PM,0:23,0,,Monday,0.38,,,,,,,3,13,0.04
HIST301,Textbook p3-14,7:49:00 AM,8:15:00 AM,0:26,0,,Tuesday,0.26,,,,,,,3,14,0.05
Saturday,DAY,9,/2,0:00,0.05,,Wednesday,#REF!,,,,,,,4,15,0.04
CS220,Create a Class,11:30:00 AM,12:45:00 PM,1:15,0,,Thursday,#REF!,,,,,,,4,16,0.03
Sunday,DAY,9,/3,0:00,0.11,,Friday,#REF!,,,,,,,5,17,0.00
HIST301,"Reader ""1491""",11:02:00 AM,12:42:00 PM,1:40,0.00,,Saturday,0.05,,,,,,,5,18,0.00
HIST301,"Reader ""1491""",2:28:00 PM,2:36:00 PM,0:08,0,,Sunday,0.20,,,,,,,5,19,0.00
HIST301,"Reader ""Megadeath in Mexico""",2:52:00 PM,3:16:00 PM,0:24,0.00,,,,,,,,,,5,20,0.10
ENG301,Read to end of Act I,6:28:00 PM,6:54:00 PM,0:26,0,,,,,,,,,,5,21,0.13
Monday,DAY,9,/4,0:00,0.17,,,,,,,,,,6,22,0.00
ENG301,Read to end of Act I,10:50:00 AM,11:56:00 AM,1:06,0,,,,,,,,,,6,23,0.00
ENG301,Read to end of Act I,1:02:00 PM,1:22:00 PM,0:20,0,,,,,,,,,,6,24,0.00
ENG301,Read to end of Act II,5:27:00 PM,6:06:00 PM,0:39,0,,,,,,,,,,6,25,0.00
MATH401,Practice with Functions,7:04:00 PM,7:21:00 PM,0:17,0,,,,,,,,,,6,26,0.00
PHYS350,Electrostatics Lecture,7:24:00 PM,7:31:00 PM,0:07,0.00,,,,,,,,,,6,27,0.00
PHYS350,Electrostatics Lecture,8:37:00 PM,8:50:00 PM,0:13,0,The Week Ahead: (Schedule):,,,,,,,,,6,28,0.00
PHYS350,Coulomb's Law Practice Problems,8:53:00 PM,9:31:00 PM,0:38,0,Monday:,Science of Kale,Spanish,,English XVI,Sociology of Buns,Buns: Economics,,,6,29,0.00
SPAN501,Leer Paris por la ventana,9:56:00 PM,10:34:00 PM,0:38,0,Tuesday:,How to draw like Micheal,Magic 101,,Spanish,History,Hypermodern art,,,6,30,0.00
SPAN501,Vocabulario de Paris por la ventana,10:34:00 PM,10:40:00 PM,0:06,0,Wednesday:,Math 3 + 4i,Spanish,,SOM,Free Period!,Look Around You,,,6,31,0.00
Tuesday,DAY,9,/5,0:00,0.00,Thursday:,Meditation,Free Period!,,Spanish,Dark Arts (Magic),Astrology,,,7,32,0.00
Wednesday,DAY,9,/6,0:00,0.07,Friday:,Spanish,Water,,More Water!,MOAR WATER!,Physics,,,8,33,0.00
SPAN501,"Leer ""Online""",9:10:00 PM,9:42:00 PM,0:32,0,,,,,,,,,,8,34,0.00
SPAN501,"Vocabulario de ""Online""",9:43:00 PM,9:54:00 PM,0:11,0,"TODO: Write 50 more essays, cry, repeat",,,,,,,,,8,35,0.00
SPAN501,"Canvas Post de ""Online""",10:13:00 PM,10:44:00 PM,0:31,0,,,,,,,,,,8,36,0.00
HIST301,Columbian Exchange Project,10:58:00 PM,11:29:00 PM,0:31,0.00,,,,,,,,,,8,37,0.00
Thursday,DAY,9,/7,0:00,0.06,,,,,,,,,,9,38,0.00
ENG301,Summarize and Review Acts I and II,9:04:00 PM,9:28:00 PM,0:24,0,,,,,,,,,,9,39,0.00
PHYS350,Harder Questions in Electric Fields,9:35:00 PM,10:23:00 PM,0:48,0,,,,,,,,,,9,40,0.00
MATH401,Functions Proof,10:29:00 PM,10:41:00 PM,0:12,0.00,,,,,,,,,,9,41,0.00
MATH401,Approximating Radicals,10:49:00 PM,10:53:00 PM,0:04,0.00,,,,,,,,,,9,42,0.00
Friday,DAY,9,/8,0:00,0.00,,,,,,,,,,10,43,0.00
Saturday,DAY,9,/9,0:00,0.00,,,,,,,,,,11,44,0.00
Sunday,DAY,9,/10,0:00,0.09,,,,,,,,,,12,45,0.00
ENG301,30m on Act IV,4:48:00 PM,5:29:00 PM,0:41,0,,,,,,,,,,12,46,0.00
PHYS350,Physics Classroom Readings,6:41:00 PM,6:48:00 PM,0:07,0,,,,,,,,,,12,47,0.00
HIST301,Textbook Readings,7:10:00 PM,7:27:00 PM,0:17,0,,,,,,,,,,12,48,0.00
SPAN501,"Leer ""Online"" otra vez",9:49:00 PM,10:47:00 PM,0:58,0,,,,,,,,,,12,49,0.00
Monday,DAY,9,/11,0:00,0.04,,,,,,,,,,13,50,0.00
SPAN501,"Escribir la trama de ""Online"" (7m)",10:58:00 PM,11:23:00 PM,0:25,0,,,,,,,,,,13,51,0.00
FA160,Read Pasolini and the Long Take,9:43:00 PM,10:05:00 PM,0:22,0,,,,,,,,,,13,52,0.00
HIST301,Textbook Reading,10:25:00 PM,10:38:00 PM,0:13,0.00,,,,,,,,,,13,53,0.00
Tuesday,DAY,9,/12,0:00,0.05,,,,,,,,,,14,54,0.00
SPAN501,"Empezar a ver ""La mala educación""",3:43:00 PM,4:48:00 PM,1:05,0,,,,,,,,,,14,55,0.00
Wednesday,DAY,9,/13,0:00,0.04,,,,,,,,,,15,56,0.00
ENG301,The Legend of Sleepy Hollow,10:36:00 PM,11:05:00 PM,0:29,0,,,,,,,,,,15,57,0.00
SPAN501,Video de Judith Butler,10:22:00 PM,10:25:00 PM,0:03,0,Hello. The black stuff down and right is generating those nice graphs. Please don't edit it if you like them!,,,,,,,,,15,58,0.00
SPAN501,Vocabulario,11:30:00 PM,11:34:00 PM,0:04,0.00,Day:,PHYS350,HIST301,FA160,ENG301,MATH401,SOM11,SPAN501,CS220,15,59,0.00
SPAN501,Identidad Personal,11:35:00 PM,11:50:00 PM,0:15,0,1,0.01,0.00,0.00,0.05,0.01,0.00,0.00,0.00,15,60,0.00
Thursday,DAY,9,/14,0:00,0.03,2,0.01,0.00,0.00,0.08,0.04,0.00,0.01,0.00,16,61,0.00
PHYS350,Electrostatics Quiz Prep,10:57:00 PM,11:34:00 PM,0:37,0,3,0.01,0.02,0.00,0.08,0.04,0.00,0.01,0.00,16,62,0.00
SOM11,5 Minutes of Observation,7:42:00 PM,7:47:00 PM,0:05,0.00,4,0.01,0.02,0.00,0.08,0.04,0.00,0.01,0.05,16,63,0.00
Friday,DAY,9,/15,0:00,0.00,5,0.01,0.11,0.00,0.10,0.04,0.00,0.01,0.05,17,64,0.00
Saturday,DAY,9,/16,0:00,0.00,6,0.05,0.11,0.00,0.19,0.05,0.00,0.04,0.05,18,65,0.00
Sunday,DAY,9,/17,0:00,0.00,7,0.05,0.11,0.00,0.19,0.05,0.00,0.04,0.05,19,66,0.00
Monday,DAY,9,/18,0:00,0.10,8,0.05,0.13,0.00,0.19,0.05,0.00,0.10,0.05,20,67,0.00
SPAN501,Video del Cuento,9:40:00 PM,10:41:00 PM,1:01,0.00,9,0.08,0.13,0.00,0.20,0.06,0.00,0.10,0.05,20,68,0.00
MATH401,Limits Exploration,10:42:00 PM,11:59:00 PM,1:17,0,10,0.08,0.13,0.00,0.20,0.06,0.00,0.10,0.05,20,69,0.00
Tuesday,DAY,9,/19,0:00,0.13,11,0.08,0.13,0.00,0.20,0.06,0.00,0.10,0.05,21,70,0.00
SPAN501,Terminar La mala educación,8:15:00 PM,9:56:00 PM,1:41,0,12,0.09,0.14,0.00,0.23,0.06,0.00,0.14,0.05,21,71,0.00
PHYS350,Quick Questions in Resistance,10:27:00 PM,11:23:00 PM,0:56,0.00,13,0.09,0.15,0.02,0.23,0.06,0.00,0.15,0.05,21,72,0.00
ENG301,Finish Sleepy Hollow,11:30:00 PM,11:59:00 PM,0:29,0.00,14,0.09,0.15,0.02,0.23,0.06,0.00,0.20,0.05,21,73,0.00
ENG301,Finish Sleepy Hollow,12:00:00 AM,12:04:00 AM,0:04,0,15,0.09,0.15,0.02,0.25,0.06,0.00,0.21,0.05,21,74,0.00
