Class Code:,Assignment Name:,Start Time,End Time,Time Spent:,,Block:,Class Code:,# of Classes:,Homework/Class:,Time Budgeted:,Time Spent:,Deficit/Surplus:,Percent of Total,,Day Count:,Day:,Homework This Day:
Monday,DAY,8,/28,0:00,0.01,1,PHYS110,9,0:30:00,4:30:00,2:54:00,1:36:00,7.41%,PHYS110,1,1,0.01
MATH301,Math Reading,8:00,8:20,0:20,0.00,2,ECON210,9,0:30:00,4:30:00,4:03:00,0:27:00,10.35%,ECON210,1,2,0.07
Tuesday,DAY,8,/29,0:00,0.07,3,HIST301,9,0:30:00,4:30:00,4:27:00,0:03:00,11.37%,HIST301,2,3,0.07
SPAN501,Reading (In English),6:54,7:07,0:13,0,4,PHIL250,9,0:30:00,4:30:00,6:10:00,-1:40:00,15.76%,PHIL250,2,4,0.04
SPAN501,Reading (In Spanish),0:00,0:10,0:10,0.00,5,MATH301,9,0:30:00,4:30:00,3:11:00,1:19:00,8.13%,MATH301,2,5,0.00
ENG301,Crucible Reading - Intro,7:24,7:54,0:30,0,6,SOM,9,0:30:00,4:30:00,0:00:00,4:30:00,0.00%,SOM,2,6,0.06
ENG301,Crucible Reading - To Page 7,8:45,8:53,0:08,0,7,SPAN501,8,0:30:00,4:00:00,13:25:00,-9:25:00,34.28%,SPAN501,2,7,0.08
HIST301,Textbook pages 3-11,10:20,10:53,0:33,0.00,8,ENG301,8,0:30:00,4:00:00,4:58:00,-0:58:00,12.69%,ENG301,2,8,0.04
Wednesday,DAY,8,/30,0:00,0.07,9,QUEST,1,40:00:00,40:00:00,0:00:00,40:00:00,0.00%,QUEST,3,9,0.14
HIST301,Textbook pages 12-15,9:26,9:33,0:07,0.00,Totals:,,,,35:00:00,39:08:00,-4:08:00,100.00%,,3,10,0.09
PHIL250,Finishing More of Minsky Reading,6:39,7:04,0:25,0,,,,,,,,,,3,11,0.03
ECON210,Reading,7:30,7:49,0:19,0,,Day of Week:,Time:,,,,,,,3,12,0.00
ECON210,Written Response to Reading,8:55,9:10,0:15,0,,Monday,0.13,,,,,,,3,13,0.00
PHYS110,First Physics Homework!,9:45,10:18,0:33,0,,Tuesday,0.33,,,,,,,3,14,0.18
Thursday,DAY,8,/31,0:00,0.04,,Wednesday,0.21,,,,,,,4,15,0.04
HIST301,1491 Reading,8:58,9:21,0:23,0,,Thursday,0.16,,,,,,,4,16,0.07
HIST301,Megadeath In Mexico Reading,9:37,9:45,0:08,0.00,,Friday,0.05,,,,,,,4,17,0.05
SPAN501,Instrucciones para ser feliz (pp. 14-18),10:05,10:27,0:22,0.00,,Saturday,0.48,,,,,,,4,18,0.02
Friday,DAY,9,/1,0:00,0.00,,Sunday,0.26,,,,,,,5,19,0.05
Saturday,DAY,9,/2,0:00,0.06,,,,,,,,,,6,20,0.34
ECON210,"""Discounting Climate Change Damages"" Reading",10:10,10:31,0:21,0,,,,,,,,,,6,21,0.00
ECON210,"""Discounting Climate Change Damages"" Reading (Cont.)",11:00,11:23,0:23,0,,,,,,,,,,6,22,0.04
ECON210,"""A Review of the Stern Review..."" Reading",11:35,12:20,0:45,0,,,,,,,,,,6,23,0.05
Sunday,DAY,9,/3,0:00,0.08,,,,,,,,,,7,24,0.00
PHYS110,Some Graphing Buisness,11:40,12:03,0:23,0,,,,,,,,,,7,25,0.07
ENG301,Crucible Act One,12:34,13:29,0:55,0,,,,,,,,,,7,26,0.00
ENG301,Crucible Act Two,3:16,3:57,0:41,0.00,,,,,,,,,,7,27,0.08
Monday,DAY,9,/4,0:00,0.04,,,,,,,,,,8,28,0.00
SPAN501,Paris por Ventana Reading,2:20,3:17,0:57,0,,,,,,,,,,8,29,0.00
Tuesday,DAY,9,/5,0:00,0.14,,,,,,,,,,9,30,0.00
PHIL250,Reading Response on Canvas,8:06,8:16,0:10,0,,,,,,,,,,9,31,0.00
HIST301,Columbian Exchange Research,8:28,10:26,1:58,0.00,,,,,,,,,,9,32,0.00
SPAN501,Sorting HW Calendar,10:45,11:10,0:25,0,,,,,,,,,,9,33,0.00
PHYS110,Optional Physics HW,11:22,11:37,0:15,0,,,,,,,,,,9,34,0.00
ECON210,Written Response to Reading,11:45,12:23,0:38,0,,,,,,,,,,9,35,0.00
Wednesday,DAY,9,/6,0:00,0.09,,,,,,,,,,10,36,0.00
SPAN501,Online Reading,9:04,11:06,2:02,0.00,,,,,,,,,,10,37,0.00
MATH301,Some work on project,11:06,11:20,0:14,0,,,,,,,,,,10,38,0.00
Thursday,DAY,9,/7,0:00,0.03,,,,,,,,,,11,39,0.00
PHIL250,What Is It Like To Be a Bat,10:30,11:20,0:50,0,,,,,,,,,,11,40,0.00
Friday,DAY,9,/8,0:00,0.00,,,,,,,,,,12,41,0.00
Saturday,DAY,9,/9,0:00,0.00,,,,,,,,,,13,42,0.00
Sunday,DAY,9,/10,0:00,0.18,,,,,,,,,,14,43,0.00
MATH301,Write Up,11:50,12:52,1:02,0.00,,,,,,,,,,14,44,0.00
PHIL250,What Is It Like To Be Boring and Myopic,1:55,3:30,1:35,0,,,,,,,,,,14,45,0.00
PHYS110,More Phys HW,4:22,4:40,0:18,0,,,,,,,,,,14,46,0.00
PHYS110,Phys Screencast,4:58,5:30,0:32,0,,,,,,,,,,14,47,0.00
SPAN501,Resumen de la Trama,7:58,8:39,0:41,0,,,,,,,,,,14,48,0.00
SPAN501,Resumen de la Trama (cont.) y Your Behaviour Creates Your Gender,9:35,9:49,0:14,0,,,,,,,,,,14,49,0.00
Monday,DAY,9,/11,0:00,0.04,,,,,,,,,,15,50,0.00
ENG301,Crucible Act 3,11:00,11:34,0:34,0,,,,,,,,,,15,51,0.00
HIST301,Textbook Reading,11:42,12:07,0:25,0,,,,,,,,,,15,52,0.00
Tuesday,DAY,9,/12,0:00,0.07,,,,,,,,,,16,53,0.00
PHIL250,History of Conciousness Reading,6:11,6:57,0:46,0,,,,,,,,,,16,54,0.00
PHYS110,More Phys HW,8:05,8:30,0:25,0,,,,,,,,,,16,55,0.00
MATH301,PP Stats 1,8:56,9:31,0:35,0,,,,,,,,,,16,56,0.00
Wednesday,DAY,9,/13,0:00,0.05,,,,,,,,,,17,57,0.00
SPAN501,Canvas Post Revision,8:17,8:58,0:41,0,Hello. The black stuff down and right is generating those nice graphs. Please don't edit it if you like them!,,,,,,,,,17,58,0.00
ENG301,Act 3 Questions,9:28,10:00,0:32,0.00,Day:,PHYS110,ECON210,HIST301,PHIL250,MATH301,SOM,SPAN501,ENG301,17,59,0.00
Thursday,DAY,9,/14,0:00,0.02,1,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,18,60,0.00
MATH301,Math PP Stats 1 Pt.2,10:19,10:49,0:30,0,2,0.00,0.00,0.02,0.00,0.01,0.00,0.02,0.03,18,61,0.00
Friday,DAY,9,/15,0:00,0.05,3,0.02,0.02,0.03,0.02,0.01,0.00,0.02,0.03,19,62,0.00
SPAN501,"Filming for ""Paris por la Ventana""",9:45,10:50,1:05,0.00,4,0.02,0.02,0.05,0.02,0.01,0.00,0.03,0.03,19,63,0.00
Saturday,DAY,9,/16,0:00,0.34,5,0.02,0.02,0.05,0.02,0.01,0.00,0.03,0.03,20,64,0.00
SPAN501,"Watching ""la mala educacion""",0:50,3:44,2:54,0,6,0.02,0.09,0.05,0.02,0.01,0.00,0.03,0.03,20,65,0.00
SPAN501,"continuing ""la mala educacion""",4:05,5:25,1:20,0,7,0.04,0.09,0.05,0.02,0.01,0.00,0.03,0.09,20,66,0.00
PHIL250,Reading Chalmers,6:57,7:59,1:02,0,8,0.04,0.09,0.05,0.02,0.01,0.00,0.07,0.09,20,67,0.00
PHIL250,Chalmers Response,8:06,8:23,0:17,0.00,9,0.05,0.11,0.13,0.02,0.01,0.00,0.09,0.09,20,68,0.00
